Date,ball1,ball2,ball3,ball4,ball5,ball6
12.01.03,35,47,54,68,71,78
12.01.05,10,11,12,24,56,71
12.01.07,7,15,60,72,77,90
12.01.10,14,22,27,28,34,66
12.01.12,20,49,53,63,73,84
12.01.14,4,12,15,37,53,83
12.01.17,9,27,32,51,53,71
12.01.19,24,41,44,56,73,90
12.01.21,12,19,33,38,62,80
12.01.24,27,32,55,68,72,75
12.01.26,13,16,22,30,52,87
12.01.28,2,17,25,50,52,84
12.01.31,16,23,28,33,43,86
12.02.02,25,37,43,50,58,60
12.02.04,1,17,30,43,67,82
12.02.07,27,30,69,75,81,83
12.02.09,43,51,54,71,73,85
12.02.11,23,30,46,64,70,86
12.02.14,12,25,41,79,86,88
12.02.16,5,21,23,41,74,84
12.02.18,8,21,39,56,74,81
12.02.21,28,29,30,39,75,87
12.02.23,20,28,56,62,63,76
12.02.25,14,30,64,75,79,89
12.02.28,25,34,43,57,67,77
12.03.01,6,14,19,26,51,53
12.03.03,16,19,31,46,69,74
12.03.06,31,42,49,51,68,79
12.03.08,23,37,47,79,80,83
12.03.10,1,8,40,54,69,81
12.03.13,15,17,53,67,75,81
12.03.15,1,13,14,34,67,83
12.03.17,12,23,54,68,84,89
12.03.20,21,39,44,49,65,87
12.03.22,6,21,37,55,84,88
12.03.24,39,45,49,66,75,80
12.03.27,9,26,27,40,51,69
12.03.29,11,45,50,54,57,62
12.03.31,11,23,38,47,57,83
12.04.03,11,34,55,63,87,89
12.04.05,10,37,44,56,60,89
12.04.07,37,46,54,55,65,87
12.04.10,9,22,41,49,52,53
12.04.12,15,25,34,54,70,88
12.04.14,5,22,24,36,85,86
12.04.17,6,28,39,46,60,78
12.04.19,12,26,27,47,63,77
12.04.21,9,11,33,69,73,82
12.04.24,24,28,54,68,78,81
12.04.26,19,61,62,65,85,89
12.04.28,6,11,34,51,59,82
12.05.02,9,22,61,67,84,85
12.05.03,8,16,25,28,57,68
12.05.05,13,14,19,57,77,79
12.05.08,13,19,35,38,52,64
12.05.10,6,16,30,53,60,71
12.05.12,10,45,58,66,83,85
12.05.15,5,38,56,76,77,89
12.05.17,14,38,41,58,65,75
12.05.19,1,23,27,33,37,85
12.05.22,1,6,31,45,58,85
12.05.24,10,29,32,43,56,90
12.05.26,3,33,51,55,73,84
12.05.29,38,39,42,49,55,81
12.05.31,12,25,66,72,75,89
12.06.04,8,16,20,23,47,56
12.06.05,15,29,38,44,67,74
12.06.07,32,58,63,70,75,81
12.06.09,31,34,52,54,78,82
12.06.12,20,30,47,69,77,83
12.06.14,3,13,39,40,49,75
12.06.16,1,9,37,69,71,83
12.06.19,52,62,65,77,87,90
12.06.21,9,24,39,48,69,75
12.06.23,2,6,26,42,55,86
12.06.26,13,30,46,48,70,88
12.06.28,6,20,25,42,57,80
12.06.30,17,20,21,39,44,89
12.07.03,2,12,17,60,63,78
12.07.05,15,59,64,65,76,79
12.07.07,15,25,26,53,74,76
12.07.10,19,32,33,66,75,78
12.07.12,40,42,54,66,77,86
12.07.14,27,38,70,75,78,82
12.07.17,8,28,35,53,57,61
12.07.19,5,36,51,55,69,79
12.07.21,22,24,49,58,72,85
12.07.24,2,45,55,77,84,88
12.07.26,11,18,30,59,76,77
12.07.28,9,17,67,68,80,81
12.07.31,29,82,83,84,87,89
12.08.02,2,8,55,66,73,83
12.08.04,12,35,47,56,74,87
12.08.07,24,50,57,62,72,77
12.08.09,19,30,32,39,47,71
12.08.11,4,11,13,42,54,75
12.08.14,19,22,23,28,41,74
12.08.16,38,39,46,74,85,89
12.08.18,3,5,11,34,43,49
12.08.21,35,42,62,67,76,78
12.08.23,5,27,36,40,46,64
12.08.25,7,38,66,67,71,88
12.08.28,15,27,30,34,75,80
12.08.30,17,20,22,40,52,62
12.09.01,6,20,31,33,63,74
12.09.04,34,42,58,60,82,83
12.09.06,16,29,39,49,59,64
12.09.08,5,13,31,42,43,73
12.09.11,8,33,42,44,48,89
12.09.13,12,26,27,46,65,77
12.09.15,21,23,32,35,36,72
12.09.18,3,10,18,25,50,68
12.09.20,10,17,50,65,75,86
12.09.22,1,28,29,68,84,85
12.09.25,21,23,33,46,61,76
12.09.27,3,8,10,31,77,79
12.09.29,6,7,33,53,64,90
12.10.02,36,52,69,71,78,84
12.10.04,21,25,47,62,79,87
12.10.06,13,40,41,56,82,87
12.10.09,6,9,37,67,83,88
12.10.11,16,34,50,58,80,90
12.10.13,14,17,38,58,60,81
12.10.16,1,20,24,27,46,60
12.10.18,7,41,56,61,68,84
12.10.20,2,5,28,36,69,81
12.10.23,45,50,65,67,78,79
12.10.25,15,23,51,52,77,90
12.10.27,15,33,34,43,49,75
12.10.30,10,32,46,61,70,75
12.11.03,1,4,8,47,74,87
12.11.05,7,14,15,17,57,66
12.11.06,18,20,22,76,82,84
12.11.08,9,31,39,44,72,81
12.11.10,1,34,46,51,60,75
12.11.13,3,20,57,62,79,84
12.11.15,12,24,53,66,74,83
12.11.17,8,10,39,60,77,84
12.11.20,9,11,29,41,67,70
12.11.22,20,25,51,59,77,88
12.11.24,12,26,34,42,48,63
12.11.27,5,13,56,65,78,82
12.11.29,1,13,17,29,54,63
12.12.01,6,20,25,45,56,60
12.12.04,19,33,35,42,49,83
12.12.06,15,18,47,70,74,89
12.12.10,11,28,38,49,66,77
12.12.11,6,8,10,11,16,61
12.12.13,9,25,48,61,73,82
12.12.15,15,26,35,39,53,59
12.12.18,22,56,60,62,79,87
12.12.20,6,19,26,27,52,65
12.12.22,24,50,53,59,80,85
12.12.24,6,22,31,37,38,51
12.12.27,28,52,57,71,81,87
12.12.29,31,39,51,84,86,89
13.01.02,10,11,43,54,61,83
13.01.03,12,14,41,51,69,90
13.01.05,3,11,38,59,67,74
13.01.08,28,32,52,74,79,80
13.01.10,1,16,22,54,73,76
13.01.12,9,12,13,30,48,86
13.01.15,12,24,40,42,70,84
13.01.17,25,34,38,69,83,86
13.01.19,1,6,23,52,58,65
13.01.22,8,51,52,60,83,88
13.01.24,15,17,47,53,64,80
13.01.26,10,12,27,39,78,84
13.01.29,6,12,18,22,25,82
13.01.31,37,42,47,49,53,63
13.02.02,9,18,39,63,64,85
13.02.05,7,13,49,71,80,88
13.02.07,4,5,55,77,80,81
13.02.09,4,11,32,51,66,81
13.02.12,6,21,41,72,73,80
13.02.14,24,32,44,60,64,76
13.02.16,6,32,35,43,53,69
13.02.19,3,34,37,55,82,90
13.02.21,4,16,35,57,69,88
13.02.23,1,11,21,50,67,75
13.02.26,20,25,51,59,84,90
13.02.28,4,24,62,66,76,84
13.03.02,16,49,59,67,71,82
13.03.05,32,34,39,52,59,61
13.03.07,26,32,42,46,78,82
13.03.09,13,22,36,64,80,84
13.03.12,7,10,22,23,41,77
13.03.14,27,35,47,57,85,89
13.03.16,19,41,43,48,73,81
13.03.19,21,39,71,76,89,90
13.03.21,9,27,47,58,62,71
13.03.23,29,42,45,58,67,86
13.03.26,15,37,46,52,64,89
13.03.28,12,27,54,68,73,76
13.03.30,17,42,52,71,74,90
13.04.02,4,12,33,52,85,87
13.04.04,3,4,31,52,66,84
13.04.06,5,8,73,84,87,88
13.04.09,25,44,45,52,68,81
13.04.11,1,47,66,67,78,90
13.04.13,26,33,43,49,61,76
13.04.16,21,30,35,36,83,89
13.04.18,27,30,35,39,49,69
13.04.20,29,33,67,75,83,86
13.04.23,1,13,37,53,62,63
13.04.27,1,2,11,56,57,75
13.04.29,2,6,53,54,68,89
13.04.30,5,35,38,75,82,86
13.05.02,19,32,33,57,65,75
13.05.04,6,31,63,74,75,85
13.05.07,19,37,54,65,67,70
13.05.09,13,16,20,21,25,65
13.05.11,10,42,48,67,83,84
13.05.14,35,41,47,74,77,85
13.05.16,3,16,22,39,49,71
13.05.18,14,20,24,36,40,81
13.05.21,6,32,48,53,54,87
13.05.23,14,22,36,53,59,66
13.05.25,6,27,34,55,62,87
13.05.28,26,35,47,66,67,80
13.05.30,29,43,61,62,77,79
13.06.01,8,21,25,54,84,85
13.06.04,3,27,34,62,81,88
13.06.06,34,36,47,64,73,78
13.06.08,5,10,31,53,56,61
13.06.11,2,21,37,39,41,64
13.06.13,1,5,6,39,41,70
13.06.15,15,19,33,35,62,68
13.06.18,8,24,32,34,65,86
13.06.20,15,24,32,52,68,71
13.06.22,2,19,25,59,84,88
13.06.25,6,16,40,61,64,82
13.06.27,12,22,27,37,52,87
13.06.29,17,22,54,69,82,88
13.07.02,3,4,18,29,64,90
13.07.04,9,41,46,47,53,77
13.07.06,4,9,24,64,74,76
13.07.09,17,36,48,55,63,70
13.07.11,14,15,34,55,59,81
13.07.13,23,49,52,65,67,76
13.07.16,22,29,57,72,85,89
13.07.18,16,19,24,37,63,85
13.07.20,2,16,20,26,31,33
13.07.23,11,14,39,63,73,75
13.07.25,33,38,41,43,46,57
13.07.27,17,19,40,43,72,84
13.07.30,16,47,55,57,70,85
13.08.01,8,21,24,25,27,75
13.08.03,15,16,34,74,85,87
13.08.06,14,16,32,35,41,50
13.08.08,2,14,42,52,75,79
13.08.10,5,33,47,61,64,70
13.08.13,1,33,41,78,83,84
13.08.17,20,21,24,43,76,89
13.08.19,3,5,11,14,38,79
13.08.20,4,11,15,26,58,68
13.08.22,19,21,30,59,61,89
13.08.24,1,2,5,27,39,49
13.08.27,6,44,63,64,72,82
13.08.29,19,54,55,71,80,84
13.08.31,11,20,50,62,70,85
13.09.03,1,7,56,70,88,90
13.09.05,15,23,45,70,81,82
13.09.07,41,55,72,78,83,87
13.09.10,35,44,57,58,87,88
13.09.12,7,44,48,51,64,83
13.09.14,20,35,45,47,72,78
13.09.17,1,21,34,44,49,90
13.09.19,15,21,28,75,81,86
13.09.21,36,61,75,81,82,89
13.09.24,1,27,33,36,43,86
13.09.26,4,38,42,57,64,75
13.09.28,28,57,61,69,78,83
13.10.01,16,21,26,64,66,78
13.10.03,7,14,42,43,56,57
13.10.05,2,5,8,65,74,77
13.10.08,1,31,39,60,62,84
13.10.10,3,7,12,20,48,55
13.10.12,10,19,20,39,85,87
13.10.15,22,36,60,64,71,80
13.10.17,11,18,40,58,81,87
13.10.19,12,30,36,44,54,60
13.10.22,2,5,34,56,72,73
13.10.24,1,3,5,41,62,76
13.10.26,24,48,50,62,63,87
13.10.29,12,23,49,53,67,83
13.10.31,13,18,26,37,46,48
13.11.02,1,12,67,75,81,90
13.11.05,4,9,10,76,78,87
13.11.07,9,19,21,50,61,82
13.11.09,10,22,39,55,81,89
13.11.12,16,26,30,52,57,83
13.11.14,23,45,54,61,69,75
13.11.16,16,36,54,55,63,69
13.11.19,14,15,39,47,53,76
13.11.21,28,37,52,57,64,66
13.11.23,6,10,19,71,72,89
13.11.26,20,25,30,45,75,79
13.11.28,31,51,55,66,73,78
13.11.30,10,11,35,42,52,89
13.12.03,12,40,42,66,73,80
13.12.05,28,34,42,68,71,88
13.12.07,2,16,42,67,75,87
13.12.10,10,16,20,57,65,89
13.12.12,10,19,32,49,53,66
13.12.14,5,33,44,46,66,76
13.12.17,12,22,27,43,60,72
13.12.19,10,23,27,39,70,82
13.12.21,2,14,17,21,22,26
13.12.23,15,43,48,54,55,76
13.12.24,10,39,45,65,74,86
13.12.28,39,52,69,70,74,82
13.12.31,25,60,62,76,82,87
14.01.02,49,55,57,64,70,77
14.01.04,19,26,30,47,69,81
14.01.07,14,47,48,58,60,69
14.01.09,15,17,24,41,70,87
14.01.11,11,37,39,52,68,90
14.01.14,4,7,25,74,82,87
14.01.16,3,18,34,37,40,47
14.01.18,14,18,38,41,74,78
14.01.21,5,23,35,54,56,62
14.01.23,3,6,12,13,19,67
14.01.25,22,34,53,59,62,88
14.01.28,9,17,27,29,59,67
14.01.30,7,21,28,45,59,90
14.02.01,3,6,41,44,48,73
14.02.04,3,12,25,33,59,85
14.02.06,9,12,14,61,79,90
14.02.08,8,16,41,52,64,74
14.02.11,12,27,38,43,65,67
14.02.13,9,11,17,20,33,75
14.02.15,18,31,62,64,72,77
14.02.18,15,36,49,62,75,82
14.02.20,14,26,47,63,78,80
14.02.22,17,19,28,34,38,82
14.02.25,26,51,52,54,70,88
14.02.27,19,32,54,59,68,86
14.03.01,7,8,47,56,79,90
14.03.04,40,46,51,61,65,76
14.03.06,15,61,66,67,76,79
14.03.08,35,45,50,51,82,87
14.03.11,49,51,53,56,58,81
14.03.13,10,28,40,57,58,78
14.03.15,1,5,22,24,41,43
14.03.18,38,39,46,58,66,83
14.03.20,15,18,28,49,51,77
14.03.22,19,22,31,38,87,89
14.03.25,28,36,42,70,74,78
14.03.27,8,12,47,64,83,88
14.03.29,12,21,57,68,86,88
14.04.01,7,56,66,72,73,90
14.04.03,40,47,59,64,79,89
14.04.05,9,31,33,37,79,86
14.04.08,11,61,64,76,82,87
14.04.10,22,25,46,52,54,65
14.04.12,14,29,34,62,65,89
14.04.15,3,26,33,44,48,49
14.04.17,11,20,51,63,68,88
14.04.19,42,45,56,75,79,90
14.04.22,14,16,21,24,62,78
14.04.24,5,7,11,67,70,85
14.04.26,3,9,13,25,42,81
14.04.29,27,33,40,52,76,86
14.05.03,15,33,45,60,72,85
14.05.05,27,44,46,50,54,69
14.05.06,1,3,4,60,70,73
14.05.08,6,9,54,70,78,79
14.05.10,8,39,40,57,69,81
14.05.13,3,5,16,54,58,68
14.05.15,20,47,56,64,66,67
14.05.17,5,31,36,68,75,90
14.05.20,10,17,41,45,69,78
14.05.22,8,23,48,56,59,78
14.05.24,3,22,38,70,77,81
14.05.27,32,37,52,53,66,83
14.05.29,27,32,33,52,73,84
14.05.31,1,6,7,10,14,56
14.06.03,3,25,26,29,48,79
14.06.05,11,31,43,70,74,80
14.06.07,12,18,39,46,56,63
14.06.10,27,29,30,42,48,73
14.06.12,13,18,19,27,50,69
14.06.14,3,31,45,48,71,76
14.06.17,21,29,43,53,66,89
14.06.19,16,19,24,36,39,81
14.06.21,14,61,69,79,81,85
14.06.24,3,22,31,42,73,88
14.06.26,8,43,61,62,70,86
14.06.28,17,20,41,42,49,81
14.07.01,31,35,48,64,65,89
14.07.03,1,13,21,25,61,63
14.07.05,15,31,38,47,55,82
14.07.08,5,8,32,43,59,85
14.07.10,3,11,18,30,51,85
14.07.12,11,20,48,52,70,74
14.07.15,5,15,17,31,32,40
14.07.17,6,11,12,28,59,79
14.07.19,29,48,49,54,75,87
14.07.22,7,32,58,60,66,69
14.07.24,4,12,13,55,73,86
14.07.26,1,10,26,28,29,62
14.07.29,32,45,56,74,87,89
14.07.31,14,19,22,66,80,90
14.08.02,29,38,54,58,72,86
14.08.05,2,19,22,41,77,89
14.08.07,10,29,50,59,79,80
14.08.09,9,10,26,53,68,72
14.08.12,11,24,34,39,68,86
14.08.14,4,12,24,61,73,75
14.08.16,31,63,64,68,69,71
14.08.19,15,30,62,63,67,74
14.08.21,4,31,52,73,76,84
14.08.23,16,45,51,58,60,71
14.08.26,1,20,44,56,59,69
14.08.28,22,39,51,78,83,84
14.08.30,23,38,43,46,60,75
14.09.02,6,20,27,31,32,36
14.09.04,31,39,41,53,67,83
14.09.06,26,33,53,61,73,82
14.09.09,12,20,26,41,70,78
14.09.11,13,14,56,58,79,82
14.09.13,7,20,25,51,65,87
14.09.16,1,15,16,23,24,52
14.09.18,11,19,37,41,62,77
14.09.20,15,36,39,50,57,76
14.09.23,6,25,42,59,78,89
14.09.25,4,45,59,77,78,79
14.09.27,1,9,12,14,58,84
14.09.30,28,33,49,55,59,76
14.10.02,3,9,42,50,56,88
14.10.04,2,6,11,62,70,71
14.10.07,7,15,17,18,26,53
14.10.09,17,20,26,41,45,89
14.10.11,6,11,28,43,56,83
14.10.14,19,21,38,45,51,69
14.10.16,6,9,24,49,78,79
14.10.18,20,40,44,53,66,72
14.10.21,18,34,41,43,46,55
14.10.23,7,21,44,53,59,64
14.10.25,8,28,44,57,85,88
14.10.28,26,30,32,36,44,61
14.10.30,22,39,45,53,74,86
14.11.03,7,9,32,35,40,48
14.11.04,13,18,23,29,58,88
14.11.06,46,58,59,82,88,90
14.11.08,21,33,69,73,81,84
14.11.11,23,27,39,41,52,64
14.11.13,2,38,47,50,55,79
14.11.15,28,42,62,64,79,80
14.11.18,38,58,65,66,72,88
14.11.20,42,45,48,56,68,83
14.11.22,22,25,55,58,82,85
14.11.25,17,36,62,67,70,87
14.11.27,13,18,26,53,54,70
14.11.29,3,14,35,63,73,80
14.12.02,9,25,35,59,76,81
14.12.04,7,52,57,65,83,85
14.12.06,10,11,21,54,73,82
14.12.09,2,23,35,46,47,63
14.12.11,20,22,24,25,48,79
14.12.13,12,13,19,37,64,70
14.12.16,15,35,45,69,82,84
14.12.18,19,28,48,52,82,89
14.12.20,1,13,24,26,29,77
14.12.23,18,22,55,58,62,89
14.12.24,33,46,53,58,73,85
14.12.27,15,25,31,39,82,88
14.12.30,5,24,51,76,77,79
15.01.03,14,26,31,40,58,68
15.01.05,16,37,48,68,84,90
15.01.07,9,16,19,26,28,46
15.01.08,6,9,29,41,50,90
15.01.10,2,13,22,37,48,90
15.01.13,9,10,36,67,76,83
15.01.15,2,5,7,12,23,42
15.01.17,18,22,31,54,71,80
15.01.20,2,11,15,39,84,87
15.01.22,11,12,44,57,77,89
15.01.24,22,23,24,59,63,81
15.01.27,5,10,47,59,66,73
15.01.29,27,29,58,64,67,80
15.01.31,8,44,54,58,59,86
15.02.03,12,29,43,56,60,75
15.02.05,7,8,10,45,49,53
15.02.07,24,27,38,40,56,81
15.02.10,30,59,72,74,77,78
15.02.12,25,32,44,56,77,87
15.02.14,13,31,32,57,60,79
15.02.17,20,27,40,60,61,66
15.02.19,23,35,44,49,66,84
15.02.21,5,16,33,48,57,87
15.02.24,6,29,56,72,82,83
15.02.26,17,41,44,57,73,86
15.02.28,5,10,34,48,56,87
15.03.03,16,26,48,61,63,87
15.03.05,35,44,62,74,82,90
15.03.07,26,36,56,68,73,81
15.03.10,9,19,68,70,71,81
15.03.12,7,36,38,63,73,90
15.03.14,28,30,39,46,68,89
15.03.17,10,13,21,36,66,69
15.03.19,5,7,20,38,57,85
15.03.21,4,7,9,19,55,58
15.03.24,8,17,29,32,65,90
15.03.26,10,21,40,46,79,84
15.03.28,5,22,60,71,74,81
15.03.31,3,15,23,33,46,78
15.04.02,33,36,61,66,83,85
15.04.04,11,38,44,48,56,83
15.04.07,4,18,20,68,72,77
15.04.09,7,25,30,44,47,68
15.04.11,26,54,55,73,86,90
15.04.14,36,45,56,79,81,90
15.04.16,37,38,43,69,79,86
15.04.18,10,11,18,36,47,85
15.04.21,4,17,52,59,67,84
15.04.23,8,13,27,34,47,83
15.04.27,8,26,39,56,78,85
15.04.28,10,41,59,61,65,71
15.04.30,18,28,31,33,55,78
15.05.02,6,34,45,46,59,73
15.05.05,7,31,33,78,86,87
15.05.07,12,32,43,46,58,77
15.05.09,31,40,52,55,62,76
15.05.12,10,19,48,78,85,90
15.05.14,19,25,42,51,55,56
15.05.16,3,32,39,65,75,76
15.05.19,6,20,43,44,46,67
15.05.21,17,21,23,51,65,87
15.05.23,4,24,29,31,39,71
15.05.26,6,9,21,69,77,78
15.05.28,6,33,57,61,80,83
15.05.30,13,33,39,56,65,86
15.06.03,3,28,37,42,67,86
15.06.04,14,17,23,45,87,88
15.06.06,16,24,34,40,41,57
15.06.09,15,21,58,80,82,86
15.06.11,26,48,52,61,75,79
15.06.13,19,35,36,38,45,80
15.06.16,6,28,55,57,78,83
15.06.18,18,21,28,62,84,90
15.06.20,6,11,21,65,66,85
15.06.23,20,24,26,33,42,80
15.06.25,18,46,63,68,73,79
15.06.27,17,22,45,48,53,61
15.06.30,4,11,16,25,34,59
15.07.02,8,17,30,61,78,88
15.07.04,8,30,38,51,62,66
15.07.07,19,25,31,78,83,88
15.07.09,8,54,59,66,86,89
15.07.11,8,30,34,39,42,58
15.07.14,12,17,32,47,74,86
15.07.16,22,27,29,49,69,87
15.07.18,22,42,47,62,70,72
15.07.21,1,21,63,70,79,84
15.07.23,33,41,44,48,68,75
15.07.25,2,20,21,40,45,65
15.07.28,4,26,34,66,67,81
15.07.30,13,18,25,26,35,61
15.08.01,2,26,34,58,80,81
15.08.04,34,53,77,78,83,89
